run, barcode, strain, condition
run1,barcode01,balbc,sample
run1,barcode02,balbc,sample
run1,barcode03,balbc,sample
run1,barcode04,balbc,sample
run1,barcode05,balbc,sample
run1,barcode06,balbc,sample
run1,barcode07,balbc,sample
run1,barcode08,balbc,sample
run1,barcode09,balbc,sample
run1,barcode10,balbc,sample
run1,barcode11,balbc,sample
run1,barcode12,balbc,sample
run1,barcode13,balbc,sample
run1,barcode14,balbc,sample
run1,barcode15,balbc,sample
run1,barcode16,balbc,sample
run1,barcode17,balbc,sample
run1,barcode18,balbc,sample
run1,barcode19,balbc,sample
run1,barcode20,balbc,sample
run1,barcode21,balbc,sample
run1,barcode22,balbc,sample
run1,barcode23,nc,sample
run1,barcode24,nc,sample
run1,barcode25,nc,sample
run1,barcode26,nc,sample
run1,barcode27,nc,sample
run1,barcode28,nc,sample
run1,barcode29,nc,sample
run1,barcode30,nc,sample
run1,barcode31,nc,sample
run1,barcode32,nc,sample
run1,barcode33,nc,sample
run1,barcode34,nc,sample
run1,barcode35,nc,sample
run1,barcode36,nc,sample
run1,barcode37,nc,sample
run1,barcode38,nc,sample
run1,barcode39,cba,sample
run1,barcode40,cba,sample
run1,barcode41,cba,sample
run1,barcode42,cba,sample
run1,barcode43,cba,sample
run1,barcode44,cba,sample
run1,barcode45,cba,sample
run1,barcode46,cba,sample
run1,barcode47,cba,sample
run1,barcode48,cba,sample
run1,barcode49,cba,sample
run1,barcode50,cba,sample
run1,barcode51,cba,sample
run1,barcode52,cba,sample
run1,barcode53,cba,sample
run1,barcode54,c3h,sample
run1,barcode55,c3h,sample
run1,barcode56,c3h,sample
run1,barcode57,c3h,sample
run1,barcode58,c3h,sample
run1,barcode59,c3h,sample
run1,barcode60,c3h,sample
run1,barcode61,c3h,sample
run1,barcode62,c3h,sample
run1,barcode63,c3h,sample
run1,barcode64,c3h,sample
run1,barcode68,balbc,control
run1,barcode69,nc,control
run1,barcode70,cba,control
run1,barcode71,c3h,control
run1,barcode72,b6j,control
run2,barcode01,sjl,sample
run2,barcode02,sjl,sample
run2,barcode03,sjl,sample
run2,barcode04,sjl,sample
run2,barcode05,sjl,sample
run2,barcode06,sjl,sample
run2,barcode07,sjl,sample
run2,barcode08,sjl,sample
run2,barcode09,sjl,sample
run2,barcode10,sjl,sample
run2,barcode11,sjl,sample
run2,barcode12,sjl,sample
run2,barcode13,sjl,sample
run2,barcode14,sjl,sample
run2,barcode15,sjl,sample
run2,barcode16,sjl,sample
run2,barcode17,sjl,sample
run2,barcode18,sjl,sample
run2,barcode19,sjl,sample
run2,barcode20,sjl,sample
run2,barcode21,sjl,sample
run2,barcode22,dba1,sample
run2,barcode23,dba1,sample
run2,barcode24,dba1,sample
run2,barcode25,dba1,sample
run2,barcode26,dba1,sample
run2,barcode27,dba1,sample
run2,barcode28,dba1,sample
run2,barcode29,dba1,sample
run2,barcode30,dba1,sample
run2,barcode31,dba2,sample
run2,barcode32,dba2,sample
run2,barcode33,dba2,sample
run2,barcode34,dba2,sample
run2,barcode35,dba2,sample
run2,barcode36,dba2,sample
run2,barcode37,dba2,sample
run2,barcode38,dba2,sample
run2,barcode39,dba2,sample
run2,barcode40,dba2,sample
run2,barcode41,dba2,sample
run2,barcode42,dba2,sample
run2,barcode43,dba2,sample
run2,barcode44,b6n,sample
run2,barcode45,b6n,sample
run2,barcode46,b6n,sample
run2,barcode47,b6n,sample
run2,barcode48,b6n,sample
run2,barcode49,b6n,sample
run2,barcode50,b6n,sample
run2,barcode51,b6n,sample
run2,barcode52,b6n,sample
run2,barcode53,b6n,sample
run2,barcode54,b6n,sample
run2,barcode55,b6n,sample
run2,barcode56,b6n,sample
run2,barcode57,b6n,sample
run2,barcode58,b6n,sample
run2,barcode59,b6n,sample
run2,barcode60,b6n,sample
run2,barcode61,b6n,sample
run2,barcode62,b6n,sample
run2,barcode68,sjl,control
run2,barcode69,dba1,control
run2,barcode70,dba2,control
run2,barcode71,b6n,control
run2,barcode72,b6j,control
